arise_control_id,prEN 18229-2 Reference,rationale
G.AC-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Top Management Commitment (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Demonstrate visible, sustained leadership commitment to the management system; provide resources, set direction, and enable continual improvement.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
G.AC-02,Art. 15 - Robustness Evaluation,"ARISE control Charters & Committees (GOVERN) maps to Art. 15 - Robustness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Operate formal committees with independent oversight for security, privacy, resilience, and AI governance.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
G.AC-03,Art. 15 - Trustworthiness Evaluation,"ARISE control Executive Leadership & Board Oversight (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Provide strategic direction and independent oversight of the management system, risk posture, and compliance through the Board or governing body.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
G.GV.A-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Accountability (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 4 requirements demonstrate direct keyword alignment to this standard: G.GV.A-01-req-04 (Executive Attestation: Require formal sign-off (attestation) from the Accountable Executive confirming that high-risk AI systems meet all safety/governance requirements before deployment.) -- matched terms: test. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.GV.A-02,Art. 15 - Accuracy Limits & Benchmarks,"ARISE control Fairness (GOVERN) maps to Art. 15 - Accuracy Limits & Benchmarks of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 3 of 4 requirements demonstrate direct keyword alignment to this standard: G.GV.A-02-req-01 (Define fairness metrics and thresholds.) -- matched terms: metric"
G.GV.A-03,Art. 15 - Trustworthiness Evaluation,"ARISE control Inclusivity (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 4 requirements demonstrate direct keyword alignment to this standard: G.GV.A-03-req-01 (Define inclusivity criteria for datasets and testing panels.) -- matched terms: test, testing"
G.GV.A-04,Art. 15 - Trustworthiness Evaluation,"ARISE control Cultural Considerations (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 3 requirements demonstrate direct keyword alignment to this standard: G.GV.A-04-req-03 (Local Subject Matter Expert (SME) Validation: Mandate that high-impact launches in new regions undergo review by local cultural/legal experts (not just translation agencies) to catch nuance and context failures.) -- matched terms: validation. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.GV.A-05,Art. 15 - Accuracy Limits & Benchmarks,"ARISE control Tensions and Trade-offs (GOVERN) maps to Art. 15 - Accuracy Limits & Benchmarks of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Document trade-offs between accuracy, privacy, interpretability, and fairness; justify risk acceptance with leadership approval and transparent communication.. None of the 4 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
G.GV.A-06,Art. 15 - Trustworthiness Evaluation,"ARISE control Transparency (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Publish explainability statements and disclose AI use where applicable; ensure documentation supports regulator and customer inquiries.. None of the 4 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
G.GV.C-01,Art. 15 - Trustworthiness Evaluation,"ARISE control COC: Acceptable Use (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Ensure personnel adhere to rules for appropriate use of systems, data, and AI technologies to prevent misuse and ethical breaches.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
G.GV.C-02,Art. 15 - Trustworthiness Evaluation,"ARISE control COC: Data Ethics (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Establish a culture of responsible data/AI use that upholds fairness, transparency, privacy, and accountability throughout data collection and model development.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
G.GV.C-03,Art. 15 - Trustworthiness Evaluation,"ARISE control COC: Ethical Principles for AI & Tech (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.C-03-req-04 (Fairness Assessments: Quantitative/qualitative bias testing pre-deployment.) -- matched terms: test, testing"
