arise_control_id,ARISE Domain,AU Strategy Sections Mapped,AU Themes,AU Article References,rationale
G.AC-01,GOVERN,AU-GOV-01: AI Governance - Multi-Tiered Approach; AU-INVEST-01: Public and Private Sector Investment in AI,AI Governance & Regulation; Investment,Section 2.4.1; Section 2.4.5,AU-GOV-01: 1 req(s) match (G.AC-01-req-03) on: ai governance. ; AU-INVEST-01: 1 req(s) match (G.AC-01-req-04) on: investment.
G.AC-03,GOVERN,AU-GOV-01: AI Governance - Multi-Tiered Approach; AU-COOP-01: Intra-Africa AI Coordination and Cooperation,AI Governance & Regulation; Cooperation & Partnerships,Section 2.4.1; Section 2.4.6.1,"AU-GOV-01: 1 req(s) match (G.AC-03-req-04) on: ai governance. ; AU-COOP-01: 3 req(s) match (G.AC-03-req-02, G.AC-03-req-03, G.AC-03-req-05) on: rec."
G.GV.A-01,GOVERN,"AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers",AI Governance & Regulation,Section 2.4.1,AU-GOV-05: control name references accountability.
G.GV.A-02,GOVERN,"AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-RISK-01: AI Risk Identification - Bias, Discrimination, Privacy",Ethics & Responsible AI; Risk Management,Section 2.2; Section 1.4.2,"AU-ETH-01: 3 req(s) match (G.GV.A-02-req-01, G.GV.A-02-req-02, G.GV.A-02-req-04) on: fairness. ; AU-ETH-02: 1 req(s) match (G.GV.A-02-req-04) on: bias. ; AU-RISK-01: 2 req(s) match (G.GV.A-02-req-01, G.GV.A-02-req-04) on: fairness metric, proxy bias."
G.GV.A-03,GOVERN,"AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",Ethics & Responsible AI; Cooperation & Partnerships,Section 2.2; Section 2.4.6.1,"AU-ETH-01: 3 req(s) match (G.GV.A-03-req-01, G.GV.A-03-req-02, G.GV.A-03-req-03) on: inclusivity. ; AU-COOP-01: 1 req(s) match (G.GV.A-03-req-04) on: rec."
G.GV.A-04,GOVERN,AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem,AI for Development,Section 2.4.2.3,AU-SEC-03: 1 req(s) match (G.GV.A-04-req-03) on: sme.
G.GV.A-06,GOVERN,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers",AI Governance & Regulation,Section 2.4.1,AU-GOV-04: 1 req(s) match (G.GV.A-06-req-02) on: explainability. ; AU-GOV-05: 1 req(s) match (G.GV.A-06-req-02) on: explainab.
G.GV.C-02,GOVERN,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-DATA-01: Data Governance, Quality, Diversity and Availability; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",AI Governance & Regulation; Ethics & Responsible AI; Data Governance; AI for Development; Cooperation & Partnerships,Section 2.4.1; Section 2.2; Section 2.4.3.1; Section 2.4.2.3; Section 2.4.6.1,"AU-GOV-04: 1 req(s) match (G.GV.C-02-req-03) on: ethical impact assessment, impact assessment. ; AU-GOV-05: 1 req(s) match (G.GV.C-02-req-01) on: accountability, transparency. ; AU-ETH-01: 1 req(s) match (G.GV.C-02-req-01) on: fairness, inclusivity. ; AU-DATA-01: 1 req(s) match (G.GV.C-02-req-02) on: data governance. ; AU-SEC-03: 1 req(s) match (G.GV.C-02-req-03) on: sme. ; AU-COOP-01: 1 req(s) match (G.GV.C-02-req-06) on: rec."
G.GV.C-03,GOVERN,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem",AI Governance & Regulation; Ethics & Responsible AI; AI for Development,Section 2.4.1; Section 2.2; Section 2.4.2.3,"AU-GOV-04: 1 req(s) match (G.GV.C-03-req-03) on: explainability. ; AU-GOV-05: 2 req(s) match (G.GV.C-03-req-03, G.GV.C-03-req-05) on: accountability, explainab, transparency. ; AU-ETH-01: 1 req(s) match (G.GV.C-03-req-04) on: fairness. ; AU-ETH-02: 2 req(s) match (G.GV.C-03-req-04, G.GV.C-03-req-05) on: bias, ethical ai. ; AU-SEC-03: 1 req(s) match (G.GV.C-03-req-04) on: sme."
G.GV.P-01,GOVERN,AU-GOV-02: National AI Strategies and Enabling Policy Frameworks; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem,AI Governance & Regulation; AI for Development,Section 2.4.1; Section 2.4.2.3,AU-GOV-02: 1 req(s) match (G.GV.P-01-req-01) on: policy framework. ; AU-SEC-03: 1 req(s) match (G.GV.P-01-req-06) on: sme.
G.GV.P-03,GOVERN,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (G.GV.P-03-req-07) on: rec.
G.GV.P-04,GOVERN,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-DATA-01: Data Governance, Quality, Diversity and Availability",AI Governance & Regulation; Ethics & Responsible AI; Data Governance,Section 2.4.1; Section 2.2; Section 2.4.3.1,"AU-GOV-04: 1 req(s) match (G.GV.P-04-req-01) on: explainability. ; AU-GOV-05: 1 req(s) match (G.GV.P-04-req-01) on: explainab, transparency. ; AU-ETH-01: 1 req(s) match (G.GV.P-04-req-01) on: fairness. ; AU-DATA-01: 1 req(s) match (G.GV.P-04-req-01) on: data governance."
G.GV.P-05,GOVERN,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",AI Governance & Regulation; Cooperation & Partnerships,Section 2.4.1; Section 2.4.6.1,AU-GOV-04: 1 req(s) match (G.GV.P-05-req-06) on: explainability. ; AU-GOV-05: 1 req(s) match (G.GV.P-05-req-06) on: explainab. ; AU-COOP-01: 1 req(s) match (G.GV.P-05-req-03) on: rec.
G.GV.P-06,GOVERN,"AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu",AI Governance & Regulation; Ethics & Responsible AI,Section 2.4.1; Section 2.2,"AU-GOV-05: 1 req(s) match (G.GV.P-06-req-01) on: accountability, transparency. ; AU-ETH-01: 1 req(s) match (G.GV.P-06-req-01) on: fairness."
