arise_control_id,HSCC Coverage References,HSCC Requirements / Guidance Items Covered,rationale
D.AD,HSCC-242 Phase 4: Performance Monitoring & Metrics (p. 27-30),HSCC-252 Phase 4: Compliance Auditing (p. 27-30),HSCC-296 Appendix B: Governance Policy (p. 52-58)
D.CM,HSCC-075 Phase 1: AI Governance & Risk Management Framework (p. 13-16),HSCC-083 Phase 1: Third-Party & Supply Chain Dependencies (p. 13-16),HSCC-092 Phase 1: Operational Readiness (p. 13-16)
D.IM,HSCC-006 Executive Summary / Best Practice Components (p. 7),HSCC-060 Phase 1: AI-Specific GRC: Model Transparency & Explainability (p. 13-16),HSCC-061 Phase 1: AI-Specific GRC: Model Transparency & Explainability (p. 13-16)
D.MT,HSCC-004 Executive Summary / Best Practice Components (p. 7),HSCC-012 Key Recommendations (p. 8),HSCC-013 Key Recommendations (p. 8)
D.SA-01,HSCC-005 Executive Summary / Best Practice Components (p. 7),HSCC-011 Key Recommendations (p. 8),HSCC-048 Phase 1: Standard Third-Party Risk Assessment (p. 13-16)
D.SA-02,HSCC-066 Phase 1: AI-Specific GRC: Security Controls & AI-Specific Risks (p. 13-16),HSCC-067 Phase 1: AI-Specific GRC: Security Controls & AI-Specific Risks (p. 13-16),HSCC-070 Phase 1: AI-Specific GRC: Security Controls & AI-Specific Risks (p. 13-16)
D.SA-03,HSCC-102 Phase 1: Security Risk Assessment (p. 13-16),HSCC-124 Phase 2: Security & Compliance Requirements (p. 16-20),HSCC-125 Phase 2: Security & Compliance Requirements (p. 16-20)
D.TI,HSCC-051 Phase 1: Standard Third-Party Risk Assessment (p. 13-16),HSCC-125 Phase 2: Security & Compliance Requirements (p. 16-20),HSCC-305 Appendix J: References (p. 108)
G.AC-02,HSCC-001 Executive Summary / Best Practice Components (p. 7),HSCC-008 Key Recommendations (p. 8),HSCC-025 Phase 0: Problem Definition & Solution Assessment (p. 11-13)
G.GV.A-01,HSCC-001 Executive Summary / Best Practice Components (p. 7),HSCC-008 Key Recommendations (p. 8),HSCC-025 Phase 0: Problem Definition & Solution Assessment (p. 11-13)
G.GV.A-06,HSCC-041 Phase 0: AI-Specific Considerations (p. 11-13),HSCC-141 Phase 2: Transparency & Explainability (p. 16-20),HSCC-142 Phase 2: Transparency & Explainability (p. 16-20)
G.GV.C-03,HSCC-096 Phase 1: Ethical & Responsible AI Practices (p. 13-16),HSCC-097 Phase 1: Ethical & Responsible AI Practices (p. 13-16),HSCC-098 Phase 1: Ethical & Responsible AI Practices (p. 13-16)
G.GV.P-04,HSCC-001 Executive Summary / Best Practice Components (p. 7),HSCC-008 Key Recommendations (p. 8),HSCC-015 AI Third-Party Process (p. 9)
G.LR-01,HSCC-050 Phase 1: Standard Third-Party Risk Assessment (p. 13-16),HSCC-052 Phase 1: Standard Third-Party Risk Assessment (p. 13-16),HSCC-081 Phase 1: Third-Party & Supply Chain Dependencies (p. 13-16)
G.LR-03,HSCC-003 Executive Summary / Best Practice Components (p. 7),HSCC-009 Key Recommendations (p. 8),HSCC-016 AI Third-Party Process (p. 9)
G.PR-01,HSCC-031 Phase 0: Risk Classification & Categorization (p. 11-13),HSCC-038 Phase 0: AI-Specific Considerations (p. 11-13),HSCC-049 Phase 1: Standard Third-Party Risk Assessment (p. 13-16)
G.RM-03,HSCC-002 Executive Summary / Best Practice Components (p. 7),HSCC-010 Key Recommendations (p. 8),HSCC-014 AI Third-Party Process (p. 9-10)
G.ST.S-01,HSCC-015 AI Third-Party Process (p. 9),HSCC-017 AI Third-Party Scope (p. 10),HSCC-018 AI Third-Party Scope (p. 10)
G.ST.S-03,HSCC-032 Phase 0: Risk Classification & Categorization (p. 11-13),HSCC-040 Phase 0: AI-Specific Considerations (p. 11-13),HSCC-043 Phase 0: AI-Specific Considerations (p. 11-13)
I.AM-01,HSCC-004 Executive Summary / Best Practice Components (p. 7),HSCC-012 Key Recommendations (p. 8),HSCC-013 Key Recommendations (p. 8)
