requirement_id,control_id,priority,requirement
D.AD-req-01,D.AD,1,Behavioral Baselines: Establish and maintain profiles of normal activity for systems and models.
D.AD-req-02,D.AD,1,Response Alignment: Ensure alerts trigger appropriate incident playbooks.
D.AD-req-03,D.AD,2,Integration: Feed anomaly detections into centralized monitoring and incident systems.
D.AD-req-04,D.AD,2,Validation & Tuning: Periodically test detection accuracy and retrain models; review and tune at least annually.
D.AD-req-05,D.AD,2,"Cross-Domain Anomaly Correlation: Implement logic to correlate anomalies across the network, application, and AI inference layers (e.g., matching a spike in outbound traffic with a cluster of unusual model prompts) to identify coordinated attacks."
D.AD-req-06,D.AD,3,"Detection Methods: Use ML, rules, and heuristics to identify anomalies and ethical risks (e.g., bias shifts)."
D.CM-req-01,D.CM,1,"Telemetry Collection: Aggregate logs, metrics, and AI inference data across systems and environments."
D.CM-req-02,D.CM,1,Alerting & Escalation: Define thresholds and escalation criteria for deviations or anomalies.
D.CM-req-03,D.CM,2,Baseline & Drift Detection: Define normal operational baselines for systems and models; monitor for performance drift and fairness bias.
D.CM-req-04,D.CM,2,Automation & Correlation: Integrate monitoring data into centralized SIEM/SOAR or AI observability platforms.
D.CM-req-05,D.CM,2,Retention & Integrity: Protect and retain monitoring data per regulatory and evidentiary standards.
D.CM-req-06,D.CM,2,Governance Oversight: Report monitoring outcomes to governance committees and integrate into audit planning.
D.CM-req-07,D.CM,2,"Downstream Impact Monitoring: Monitor for unexpected spikes in negative real-world outcomes (e.g., disproportionate denials, safety reports, or legal inquiries) to detect model failures that internal statistical metrics may fail to capture."
D.CM-req-08,D.CM,3,Universal Coverage: 24/7 monitoring coverage for all critical assets and models; thresholds reviewed quarterly.
D.ID-req-01,D.ID,1,"IOC Feed Integration: Subscribe to authoritative feeds (ISACs, threat intel services)."
D.ID-req-02,D.ID,1,Response Workflows: Define playbooks for confirmed IOCs.
D.ID-req-03,D.ID,2,Correlation & Analysis: Automate IOC correlation with system telemetry.
D.ID-req-04,D.ID,2,Validation: Validate IOC coverage and accuracy regularly.
D.ID-req-05,D.ID,2,Reporting: Escalate verified IOCs through the incident response process.
D.ID-req-06,D.ID,2,"AI-Specific Threat Indicators: Curate and monitor for ""AI-native"" IOCs, including known adversarial prompt signatures, anomalous model-inversion traffic patterns, and unique signatures associated with ""poisoned"" dataset repositories."
D.ID-req-07,D.ID,3,IOC database updated weekly; automated IOC correlation for all monitored assets.
D.IM-req-01,D.IM,1,"Incident Classification: Define types and severity levels (including AI-specific categories like ""Model Hijacking"" or ""Data Poisoning"")."
D.IM-req-02,D.IM,1,"Reporting & Escalation: Establish clear channels; fulfill regulatory notification obligations (GDPR, AI Act)."
D.IM-req-03,D.IM,1,Root Cause Analysis (RCA): Identify underlying vulnerabilities and control gaps immediately following containment.
D.IM-req-04,D.IM,2,"Response Coordination: Integrate SOC, legal, PR, and communications functions."
D.IM-req-05,D.IM,2,"AI Forensic Capture: Implement procedures to freeze and export the specific model version, weights, and inference telemetry (input/output/metadata) involved in an incident to enable deterministic replay and analysis in a secure environment."
D.IM-req-06,D.IM,3,24/7 Response & PIR: 24/7 incident reporting channel; post-incident review (PIR) within 10 business days of closure.
D.MT-req-01,D.MT,1,"Evidence Review: Require attestations, SOC/ISO/AI assurance reports."
D.MT-req-02,D.MT,1,Issue Escalation: Track and remediate vendor-related incidents; define communication protocols for breaches.
D.MT-req-03,D.MT,2,Continuous Monitoring: Use automated tools for vendor security scoring and public vulnerability monitoring.
D.MT-req-04,D.MT,2,"Ethical Oversight: Validate AI suppliers for fairness, transparency, and accountability practices."
D.MT-req-05,D.MT,2,Sub-Processor & API Discovery: Implement automated traffic analysis or CASB (Cloud Access Security Broker) tools to identify where third-party vendors are forwarding organizational data to secondary sub-processors or external AI APIs.
D.MT-req-06,D.MT,3,Full Compliance Coverage: All critical vendors have an active risk score and current assurance documentation.
D.SA-01-req-01,D.SA-01,1,Independence: Use qualified assessors independent from operations.
D.SA-01-req-02,D.SA-01,1,Assessment Planning: Define annual schedule covering all system types.
D.SA-01-req-03,D.SA-01,2,"Fully Documented Testing Program: Conduct vulnerability, code(e.g., SAST, DAST, IAST, SCA...) tests."
D.SA-01-req-04,D.SA-01,2,Tracking & Remediation: Document findings and verify closure.
D.SA-01-req-05,D.SA-01,3,Integration: Feed results into risk management and audit functions.
