arise_control_id,prEN 18229-1 Reference,rationale
G.AC-01,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Top Management Commitment (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). The control addresses: Demonstrate visible, sustained leadership commitment to the management system; provide resources, set direction, and enable continual improvement.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-1 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-1 language to one or more requirements to strengthen direct traceability."
G.AC-02,Art. 14 - Human Oversight Mechanisms,"ARISE control Charters & Committees (GOVERN) maps to Art. 14 - Human Oversight Mechanisms of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.AC-02-req-04 (Decision Tracking: Maintain a formal Decision Log separate from minutes; track committee mandates to completion (e.g., Risk Accepted or Remediation Ordered).) -- matched terms: log. These requirements substantively address prEN 18229-1 obligations at the individual requirement level, confirming strong traceability."
G.AC-03,Art. 14 - Human Oversight Mechanisms,"ARISE control Executive Leadership & Board Oversight (GOVERN) maps to Art. 14 - Human Oversight Mechanisms of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 3 of 6 requirements demonstrate direct keyword alignment to this standard: G.AC-03-req-01 (Oversight Charter: Define responsibilities for policy approval, risk appetite, and performance review.) -- matched terms: oversight"
G.GV.A-01,Arts. 12-14 - Trustworthiness,"ARISE control Accountability (GOVERN) maps to Arts. 12-14 - Trustworthiness of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). The control addresses: Ensure every AI decision/outcome has a traceable human owner with authority to act on risk findings.. None of the 4 individual requirements contain explicit keyword matches to prEN 18229-1 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-1 language to one or more requirements to strengthen direct traceability."
G.GV.A-02,Arts. 12-14 - Trustworthiness,"ARISE control Fairness (GOVERN) maps to Arts. 12-14 - Trustworthiness of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 3 of 4 requirements demonstrate direct keyword alignment to this standard: G.GV.A-02-req-01 (Define fairness metrics and thresholds.) -- matched terms: fairness"
G.GV.A-03,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Inclusivity (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 1 of 4 requirements demonstrate direct keyword alignment to this standard: G.GV.A-03-req-02 (Define inclusivity Define inclusivity criteria for datasets and testing panels. (Interpreted as: Apply criteria / Stakeholder Engagement)for datasets and testing panels.) -- matched terms: interpret. These requirements substantively address prEN 18229-1 obligations at the individual requirement level, confirming strong traceability."
G.GV.A-04,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Cultural Considerations (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). The control addresses: Respect cultural norms and jurisdictional sensitivities in outputs, labeling, and UX; require contextual review before global deployments.. None of the 3 individual requirements contain explicit keyword matches to prEN 18229-1 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-1 language to one or more requirements to strengthen direct traceability."
G.GV.A-05,Art. 13 - Transparency Disclosures,"ARISE control Tensions and Trade-offs (GOVERN) maps to Art. 13 - Transparency Disclosures of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). The control addresses: Document trade-offs between accuracy, privacy, interpretability, and fairness; justify risk acceptance with leadership approval and transparent communication.. None of the 4 individual requirements contain explicit keyword matches to prEN 18229-1 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-1 language to one or more requirements to strengthen direct traceability."
G.GV.A-06,Art. 13 - Transparency Disclosures,"ARISE control Transparency (GOVERN) maps to Art. 13 - Transparency Disclosures of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 2 of 4 requirements demonstrate direct keyword alignment to this standard: G.GV.A-06-req-01 (User disclosures when AI is used.) -- matched terms: disclosure"
G.GV.C-01,Art. 12 - Logging Specifications,"ARISE control COC: Acceptable Use (GOVERN) maps to Art. 12 - Logging Specifications of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). The control addresses: Ensure personnel adhere to rules for appropriate use of systems, data, and AI technologies to prevent misuse and ethical breaches.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-1 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-1 language to one or more requirements to strengthen direct traceability."
