arise_control_id,Requirement Category,Requirement,State Abbrevs,rationale,
R.IC.E-04,Consumer Notice / ADMT,Pre-use notice for covered automated decision-making technology used in consequential decisions,CO,Direct alignment to consumer-facing notice before or during ADMT use.,
P.AC.M-03,Consumer Explanation / ADMT,Post-adverse-outcome explanation when covered ADMT materially influences a consequential decision,CO,Strong alignment because explanations require understandable decision factors and system role.,
P.AC.M-03,Human Review / ADMT,Right to meaningful human review of covered automated decision-making technology in consequential decisions,CO,Strong alignment because human review depends on explainable outputs and reviewer access to decision factors.,
M.DV-01,Developer Documentation,"Maintain developer documentation for automated decision-making technology including purpose, intended use, limitations, and deployer support information",CO,Direct alignment to lifecycle and system documentation.,
I.AM-01,AI Inventory / Scope,Identify covered automated decision-making systems and consequential decision use cases,CO,"Direct alignment; notice, review, and documentation obligations require knowing covered systems.",
P.PY-03,Prohibited Use / Manipulation,Prohibit AI systems developed or deployed for unlawful behavioral manipulation or harmful conduct,TX,Direct alignment to prohibited harmful AI objectives and unsafe system behavior.,
P.PY-03,Prohibited Use / CSAM,Prohibit AI systems designed to generate child sexual abuse material or unlawful explicit synthetic content involving minors,TX,Direct alignment to categorical safety prohibition and abuse-prevention controls.,
G.LR-03,Public Sector / Social Scoring,Restrict state agency use of AI for social scoring or similar prohibited public-sector uses,TX,Direct alignment to public-sector statutory prohibited-use compliance.,
R.IC.E-04,Biometrics / Tracking,Restrict unconsented biometric identification or tracking in covered state-agency contexts,TX,Strong alignment to notice/consent and privacy transparency.,
G.RM-04,Regulatory Sandbox,"Regulatory sandbox participation, testing boundaries, and oversight for AI innovation",TX,Partial alignment; risk management supports controlled experimentation but not sandbox administration.,
G.LR-03,Frontier Model Safety Framework,Publish or maintain a frontier AI safety/risk framework for covered large model developers,CA,Direct alignment to formal regulatory governance and framework publication obligations.,
G.GV.S-02,Frontier Model Standards,"Align frontier model safety framework to applicable standards, best practices, and catastrophic-risk controls",CA,Direct alignment to formal standards and best-practice mapping.,
D.IM,AI Safety Incident Reporting,Report critical safety incidents for covered frontier models,CA,"Direct alignment to incident intake, severity classification, escalation, notification, and corrective action.",
G.GV.P-02,Whistleblower Protection,Provide whistleblower protections and reporting channels for AI safety concerns,CA,Strong alignment to governance policy and protected reporting channels.,
P.DS-01,Training Data Transparency,Public training-data summary disclosure for covered generative AI systems,CA,"Direct alignment to dataset provenance, tagging, and source documentation.",
R.IC.E-04,Personal Information in Training Data,Disclose whether personal information is included in training data and how it is used,CA,Strong alignment to privacy transparency and personal-information disclosure.,
P.DS-01,Synthetic Content Provenance,Embed latent provenance metadata or disclosures in covered AI-generated content,CA,Direct alignment to tagging/provenance controls.,
R.IC.E-04,Synthetic Content Labeling,Provide manifest disclosure or visible labeling of AI-generated content where required,CA,Strong alignment to user-facing disclosure obligations.,
V.CI-03,Synthetic Content Detection,Provide detection or verification support for synthetic content labeling/provenance obligations,CA,Direct alignment to verifying provenance and detection controls.,
G.LR-03,Education AI Governance,Statewide K-12 generative AI framework and local district/public charter policy adoption,ID,Direct alignment to state education AI governance and local compliance implementation.,
R.IC.E-04,Student Data Privacy,Student data privacy safeguards for AI tools used in public education,ID,Strong alignment to privacy safeguards and transparency.,
G.GV.C-01,Education Acceptable Use,"Define appropriate and prohibited uses of generative AI by students, educators, and administrators",ID,Direct alignment to acceptable-use policy controls.,
S.VR-02,Education Vendor Risk,Procurement and vendor controls for AI tools used in schools,ID,Direct alignment to AI vendor review and procurement controls.,
P.PY-03,Commercial Chatbot Safety,Commercial chatbot safety obligations for covered conversational AI services,ID,Direct alignment to safe chatbot operations.,
R.IC.E-04,Chatbot Transparency,Disclose or make transparent that users are interacting with conversational AI,ID,Strong alignment to user notice and transparency.,
P.AC.M-02,Chatbot Child Safety,"Child safety controls for manipulative, harmful, exploitative, or unsafe chatbot interactions",ID,Partial alignment; AI attack-vector controls support misuse prevention but do not fully cover child-safety legal duties.,
G.LR-03,AI Legal Status / Personhood,Declare AI systems nonsentient and prohibit AI systems from obtaining legal personhood or human-equivalent rights,OH; OK,Strong cross-state alignment to legal-status compliance tracking. Ohio expressly declares AI nonsentient and prohibits legal personhood; Oklahoma tracks a similar AI-personhood exclusion concept.,
G.GV.P-02,AI Accountability / Human Responsibility,"Clarify that humans, organizations, developers, owners, or deployers remain responsible for AI actions",OH; OK,Strong alignment to policy-based accountability and governance ownership for AI systems.,
G.GV.C-01,AI Legal Role Restrictions,"Prohibit AI systems from acting as legal persons or occupying human/legal roles such as officer, owner, spouse, or contracting party where prohibited",OH,Direct alignment to acceptable/prohibited-use governance for AI legal roles.,
P.PY-03,Synthetic Sexual Media / Deepfakes,Prohibit nonconsensual explicit deepfakes and synthetic sexual media abuse,AL; AZ; ND; Multi,"Direct directional alignment to safety controls prohibiting harmful generation, abuse, and misuse of synthetic content.",
R.IC.E-04,Synthetic Media Consent / Victim Protection,"Synthetic media consent, takedown, notice, and victim-protection obligations",AL; AZ; ND; Multi,Strong directional alignment to consent and notice dimensions of synthetic media laws.,
D.IM,AI Harassment Incident Response,"Detect, investigate, escalate, remove, and report AI-generated harassment or synthetic abuse",AL; AZ; ND; Multi,"Strong alignment to incident intake, triage, investigation, escalation, and corrective action.",
