requirement_id,control_id,priority,requirement
M.CM-req-01,M.CM,1,Formal RFC Process: Require documented Request for Change (RFC) submissions for all production modifications.
M.CM-req-02,M.CM,1,"Testing & Validation: Mandate pre-deployment testing, rollback, and reproducibility verification."
M.CM-req-03,M.CM,1,Segregation of Duties: Enforce SoD to prevent self-approval.
M.CM-req-04,M.CM,1,"Model Lifecycle Control: Track model versioning, dataset hashes, and lineage metadata for AI systems."
M.CM-req-05,M.CM,2,"Risk Evaluation: Classify changes (standard, normal, emergency) with defined approval chains."
M.CM-req-06,M.CM,2,Post-Implementation Review: Conduct retrospective analysis for failed or emergency changes.
M.CM-req-07,M.CM,3,Automation: Integrate change control into CI/CD pipelines and IaC workflows.
M.CM-req-08,M.CM,3,Configuration Drift Detection: Implement automated monitoring tools to detect and alert on unauthorized changes (Drift) that occur outside the formal change management process.
M.DV-01-req-01,M.DV-01,1,Standardized AI Lifecycle Stages: (ideation → deployment → monitoring).
M.DV-01-req-02,M.DV-01,1,Intake Forms & Risk Evaluation: Mandate intake forms with ethical-risk evaluation.
M.DV-01-req-03,M.DV-01,1,"Documentation Requirements: Require model cards, data sheets, and fairness/robustness testing reports."
M.DV-01-req-04,M.DV-01,2,"Maintain traceability across data, code, and model artifacts."
M.DV-01-req-05,M.DV-01,2,Establish rollback and safe-deployment mechanisms.
M.DV-01-req-06,M.DV-01,2,Require independent validation prior to go-live.
M.DV-01-req-07,M.DV-01,2,Integrate continuous monitoring pipelines for drift detection.
M.DV-01-req-08,M.DV-01,3,"Automated Policy Enforcement: Implement ""Policy-as-Code"" gates within the CI/CD pipeline to automatically block deployments that fail to meet governance criteria (e.g., missing test reports or failed security scans)."
M.DV-02-req-01,M.DV-02,1,Policy & Standards: Document secure-development policy and coding standards.
M.DV-02-req-02,M.DV-02,1,Enforce secure secret management.
M.DV-02-req-03,M.DV-02,1,Enforce code review and change-approval workflows.
M.DV-02-req-04,M.DV-02,2,"Require threat modeling and security testing (SAST, DAST, IAST)."
M.DV-02-req-05,M.DV-02,2,Automate dependency scanning and SBOM generation.
M.DV-02-req-06,M.DV-02,2,Pipeline Integration: Integrate static/dynamic scans into CI/CD pipelines.
M.DV-02-req-07,M.DV-02,3,IDE-Based Security Analysis: Implement real-time security scanning plugins within the developer's Integrated Development Environment (IDE) to detect and remediate vulnerabilities during the coding phase.
M.HR-req-01,M.HR,1,Pre-Hire Screening: Conduct background checks proportionate to job risk.
M.HR-req-02,M.HR,1,"Onboarding: Require confidentiality, acceptable-use, and ethics acknowledgments."
M.HR-req-03,M.HR,1,Access Management: Implement role-based provisioning tied to HR events.
M.HR-req-04,M.HR,1,"Offboarding: Immediate access revocation, device return, and exit checklist completion."
M.HR-req-05,M.HR,1,Whistleblower Protection: Maintain confidential reporting channels.
M.HR-req-06,M.HR,2,"Training: Provide annual security, privacy, and AI ethics training."
M.HR-req-07,M.HR,3,"Insider Risk Management: Implement behavioral monitoring for high-risk roles (e.g., administrators, researchers) to detect anomalous activities indicative of insider threats or data exfiltration."
M.OV-01-req-01,M.OV-01,1,"Charter Definition: Document mission, authority, roles, quorum, and decision rights."
M.OV-01-req-02,M.OV-01,1,Escalation Authority: Empower the committee to halt deployments pending resolution of ethical risk.
M.OV-01-req-03,M.OV-01,2,"Membership Composition: Ensure cross-functional participation including legal, HR, engineering, data science, and external advisors."
M.OV-01-req-04,M.OV-01,2,"Ethical Review Process: Evaluate bias, fairness, cultural impact, explainability, and proportionality."
M.OV-01-req-05,M.OV-01,2,"Minutes & Records: Maintain evidence of reviews, decisions, and monitoring requirements."
M.OV-01-req-06,M.OV-01,3,Annual Effectiveness Review: Evaluate committee effectiveness and update charter.
M.OV-01-req-07,M.OV-01,3,"Public Transparency Reporting: Publish an annual ""AI Ethics Report"" detailing the number of models reviewed, approved, rejected, and the key ethical challenges addressed."
M.OV-02-req-01,M.OV-02,1,Charter & Authority: Define committee scope for privacy oversight.
M.OV-02-req-02,M.OV-02,2,Review of PIAs/DPIAs: Approve privacy risk assessments and impact assessments for new systems.
