arise_control_id,prEN 18286 Reference,rationale
G.AC-01,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Top Management Commitment (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 2 of 6 requirements demonstrate direct keyword alignment to this standard: G.AC-01-req-01 (Policy Endorsement: Sign/publish management-system policy; communicate expectations.) -- matched terms: policy"
G.AC-02,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Charters & Committees (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 3 of 6 requirements demonstrate direct keyword alignment to this standard: G.AC-02-req-01 (Charters: Document purpose, scope, authorities, quorum, and decision rights.) -- matched terms: charter, document, scope"
G.AC-03,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Executive Leadership & Board Oversight (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 3 of 6 requirements demonstrate direct keyword alignment to this standard: G.AC-03-req-01 (Oversight Charter: Define responsibilities for policy approval, risk appetite, and performance review.) -- matched terms: charter, oversight, policy"
G.GV.A-01,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Accountability (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 2 of 4 requirements demonstrate direct keyword alignment to this standard: G.GV.A-01-req-02 (Document authority to remediate or pause systems.) -- matched terms: document"
G.GV.A-02,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Fairness (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 4 requirements demonstrate direct keyword alignment to this standard: G.GV.A-02-req-04 (Proxy Variable Analysis & Trade-off Documentation: Analyze models for Proxy Bias (e.g., Zip Code acting as Race) and formally document the accepted trade-offs between Accuracy and Fairness (The Pareto Frontier).) -- matched terms: document. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
G.GV.A-03,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Inclusivity (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 4 requirements demonstrate direct keyword alignment to this standard: G.GV.A-03-req-03 (Accessibility & Universal Design: Mandate that all AI interfaces and outputs meet accessibility standards (e.g., WCAG 2.1 AA) to ensure inclusivity for users with disabilities.) -- matched terms: standard. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
G.GV.A-04,Art. 17 / Cl. 9 - QMS Performance Evaluation,"ARISE control Cultural Considerations (GOVERN) maps to Art. 17 / Cl. 9 - QMS Performance Evaluation of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. The control addresses: Respect cultural norms and jurisdictional sensitivities in outputs, labeling, and UX; require contextual review before global deployments.. None of the 3 individual requirements contain explicit keyword matches to prEN 18286 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18286 language to one or more requirements to strengthen direct traceability."
G.GV.A-05,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Tensions and Trade-offs (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 4 requirements demonstrate direct keyword alignment to this standard: G.GV.A-05-req-02 (Trade-off documentation template and repository.) -- matched terms: document. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
G.GV.A-06,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Transparency (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 2 of 4 requirements demonstrate direct keyword alignment to this standard: G.GV.A-06-req-03 (Documentation to satisfy regulator/customer requests.) -- matched terms: document"
G.GV.C-01,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control COC: Acceptable Use (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.C-01-req-06 (Shadow AI / Public Generative AI Restrictions: Explicitly prohibit the submission of non-public data into unapproved/public AI tools and define acceptable Bring Your Own AI boundaries.) -- matched terms: mission. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
