arise_control_id,ForHumanity Cybersecurity Criteria,rationale
G.AC-01,CY-GL-AL-TM-TM-001-2504,Control 'Top Management Commitment' primarily addresses governance and leadership
G.AC-02,CY-GL-AL-EO-TM-001-2504,Control 'Charters & Committees' primarily addresses incident response and management
G.AC-03,CY-GL-AL-TM-TM-001-2504,Control 'Executive Leadership & Board Oversight' primarily addresses incident response and management
G.GV.C-01,CY-GL-AL-AU-TM-001-2504,Control 'COC: Acceptable Use' primarily addresses monitoring and logging
G.GV.P-01,CY-GL-AL-RM-CY-001-2504; CY-GL-AL-RM-CY-002-2504,Control 'Core Policies' primarily addresses monitoring and logging
G.GV.P-02,CY-GL-AL-RM-CY-001-2504; CY-GL-AL-DS-CY-001-2504,Control 'Security Policies' primarily addresses monitoring and logging
G.GV.P-03,CY-GL-AL-BC-CY-001-2504,Control 'Response & Resilience Policies' primarily addresses incident response and management
G.GV.P-07,CY-GL-AL-PM-TM-001/002/003/004-2504; CY-GL-AL-IA-TM-002-2504,Control 'HR Policies' primarily addresses governance and leadership.
G.GV.P-08,CY-GL-AL-VM-CY-001-0425,Control 'Supply-Chain Policies' primarily addresses monitoring and logging
G.GV.S-01,CY-GL-AL-IA-CY-001-2504,Control 'Core Standards' primarily addresses third-party and vendor risk
G.GV.S-02,CY-GL-AL-IA-CY-001-2504; CY-GL-AL-DS-CY-001-2504; CY-GL-AL-CK-TM-001-2504; CY-GL-AL-SC-CY-002-2504,Control 'Security Standards' primarily addresses monitoring and logging
G.GV.S-03,CY-GL-AL-BC-CY-001-2504,Control 'Response & Resilience Standards' primarily addresses incident response and management
G.LR-04,CY-GL-AL-RC-CO-001-2504; CY-GL-AL-RL-AC-001-2504,Control 'Cybersecurity Regulatory Compliance' primarily addresses monitoring and logging
G.RM-01,CY-GL-AL-RM-CY-002-2504,Control 'Risk Management Framework' primarily addresses monitoring and logging
G.RM-02,CY-GL-AL-RM-TM-002-2504,Control 'Risk Appetite and Tolerance' primarily addresses governance and leadership.
G.RM-04,CY-GL-AL-RM-CY-002-2504; CY-GL-AL-RM-CY-003-2504,Control 'Risk-Management Program: Cybersecurity' primarily addresses monitoring and logging
G.RM-05,CY-GL-AL-VM-CY-001/002-2504,Control 'Risk-Management Program: Third-Party' primarily addresses monitoring and logging
G.ST.B,CY-GL-AL-DN-CY-002-2504; CY-GL-AL-DN-CY-003-2504; CY-GL-AL-SD-CY-002-2504; CY-GL-AL-IA-CY-001-2504,Control 'System Boundaries' primarily addresses third-party and vendor risk
G.ST.O-01,CY-GL-AL-RL-AC-001-2504,Control 'Mission Statement' primarily addresses monitoring and logging
G.ST.O-02,CY-GL-AL-RL-AC-001-2504; CY-GL-AL-RM-CY-001-2504,Control 'Goals & Context' primarily addresses monitoring and logging
G.ST.S-02,CY-GL-AL-AM-CY-001-2504; CY-GL-AL-AM-CY-002-2504; CY-GL-AL-RM-CY-001-2504,Control 'Security Scope' primarily addresses general security and AI governance.
G.ST.S-03,CY-GL-AL-RL-AC-001-2504; CY-GL-AL-RC-CO-001-2504,Control 'Regulatory Scope' primarily addresses monitoring and logging.
I.AM-03,"CY-GL-AL-RA-TM-001-2504, CY-GL-AL-RA-CY-001-2504",Control 'BYOD Asset Management' primarily addresses monitoring and logging
I.DG-01,CY-GL-AL-DS-AC-001-2504,Control 'Data Mapping' primarily addresses monitoring and logging
I.RM-01,"CY-GL-AL-RM-CY-002-2504, CY-GL-AL-RM-CY-003-2504",Control 'Risk Identification' primarily addresses monitoring and logging
I.RM-02,"CY-GL-AL-TE-CY-001-2504, CY-GL-AL-RM-CY-015-2504",Control 'Insider Threat' primarily addresses monitoring and logging
I.SC-01,"CY-GL-AL-VM-CY-001-2504, CY-GL-AL-VM-CY-002-2504",Control 'Supply Chain Risk' primarily addresses monitoring and logging
I.TM-01,"CY-GL-AL-VM-CY-006-2504, CY-GL-AL-VM-CY-007-2504",Control 'Threat Management' primarily addresses monitoring and logging
M.CM,CY-GL-AL-CM-AC-001-2504,Control 'Change Management' primarily addresses code
M.DV-02,CY-GL-AL-SD-CY-001-2504,Control 'Software Development Lifecycle (SDLC)' primarily addresses code
