requirement_id,control_id,priority,requirement
P.AC.M-01-req-01,P.AC.M-01,1,"Documentation: Model cards with fairness assumptions, metrics, mitigations, limitations; re-evaluate on data/model changes."
P.AC.M-01-req-02,P.AC.M-01,1,"Metric Definition: Select context-appropriate fairness metrics (e.g., demographic parity, equalized odds)."
P.AC.M-01-req-03,P.AC.M-01,1,Fairness evaluation and documented results pre-production for risk-bearing models.
P.AC.M-01-req-04,P.AC.M-01,2,"Data Interventions: Balanced sampling, reweighing, augmentation; label quality audits."
P.AC.M-01-req-05,P.AC.M-01,2,"Post-Processing: Threshold adjustments, calibration, or output filters."
P.AC.M-01-req-06,P.AC.M-01,2,"Proxy Variable Identification: Conduct feature correlation analysis to identify and mitigate ""proxy"" variables that are statistically correlated with protected attributes, preventing the model from circumventing fairness constraints."
P.AC.M-01-req-07,P.AC.M-01,3,In-Model Constraints: Fairness-aware training/regularization; constrained optimization.
P.AC.M-02-req-01,P.AC.M-02,1,Fallback & SLOs: Define fallback models/heuristics; set response SLOs and quality SLOs.
P.AC.M-02-req-02,P.AC.M-02,2,"Stress & Corruption Tests: Evaluate under noise, occlusion, domain shift; benchmark against robustness suites."
P.AC.M-02-req-03,P.AC.M-02,2,Uncertainty & Drift: Calibrate outputs; detect covariate/label drift; trigger rollback/HITL when thresholds breach.
P.AC.M-02-req-04,P.AC.M-02,2,Monitoring Infrastructure: Robustness tests and drift monitors in place for production models.
P.AC.M-02-req-05,P.AC.M-02,2,"Out-of-Distribution (OOD) Filtering: Implement an input validation layer that uses statistical or neural methods to detect and reject inputs that are fundamentally different from the training distribution, preventing the model from making high-confidence incorrect ""hallucinated"" predictions."
P.AC.M-02-req-06,P.AC.M-02,3,Adversarial Resilience: Test adversarial examples; apply adversarial training where appropriate.
P.AC.M-03-req-01,P.AC.M-03,1,"Disclosures: Provide user-facing notices, known limitations, and appropriate guidance for decisions."
P.AC.M-03-req-02,P.AC.M-03,1,"Governance Artifacts: Maintain explanation artifacts, modeling assumptions, and rationale in model/system cards."
P.AC.M-03-req-03,P.AC.M-03,2,"Explainer Selection: Choose global/local explainers aligned to user roles (e.g., SHAP, LIME, feature attributions)."
P.AC.M-03-req-04,P.AC.M-03,2,Documentation & Disclosure: Explanation method documented for each production model; user-appropriate disclosures for high-impact use.
P.AC.M-03-req-05,P.AC.M-03,2,"Counterfactual Generation: For models affecting individual rights or benefits, provide counterfactual explanations to ensure meaningful transparency and recourse."
P.AC.M-03-req-06,P.AC.M-03,3,Coverage & Quality: Track explanation coverage and stability; validate against user comprehension needs.
P.AC.S-01-req-01,P.AC.S-01,1,"Provenance & Licensing: Record source, license terms, consent/usage rights; block unvetted datasets."
P.AC.S-01-req-02,P.AC.S-01,1,"Sensitivity Tags: Label datasets with confidentiality, regulatory flags, and usage constraints; propagate tags to features/exports."
P.AC.S-01-req-03,P.AC.S-01,1,Access & Monitoring: Segregate training vs. inference stores; log read/write; anomaly alerts on unusual reads.
P.AC.S-01-req-04,P.AC.S-01,2,Integrity Controls: Hashes/checksums; signed dataset manifests; tamper-evident storage; watermarking/canary data where feasible.
P.AC.S-01-req-05,P.AC.S-01,2,"User-Generated Data Governance: Moderate/cleanse UGC; define retention, consent, and redaction policies."
P.AC.S-01-req-06,P.AC.S-01,2,"Quality & Bias Metadata: Attach statistical summaries and quality reports to dataset metadata, documenting known skew, missingness, and demographic balance to inform model development and bias mitigation."
P.AC.S-01-req-07,P.AC.S-01,3,All production datasets carry provenance and sensitivity tags.
P.AC.S-02-req-01,P.AC.S-02,1,"Input/Output Guardrails: Content filtering, policy/guard prompts, output sanitization; prevent chain-of-thought leakage."
P.AC.S-02-req-02,P.AC.S-02,1,Rate-Limit & Abuse Prevention: Per-tenant throttles; high-risk pattern detection; honeypot prompts/canaries.
P.AC.S-02-req-03,P.AC.S-02,1,"Adversarial Testing: Red-team for jailbreaks, prompt-injection chains, data poisoning; capture signatures into detections."
P.AC.S-02-req-04,P.AC.S-02,1,Model/IP Protection: Encrypt artifacts; watermark/trace where feasible; model access segmentation; API threat detection.
P.AC.S-02-req-05,P.AC.S-02,1,Telemetry: Log prompts/responses (privacy-aware); detect anomalous patterns and exfil attempts.
P.AC.S-02-req-06,P.AC.S-02,2,Sandbox & Isolation: Execute tools and retrieval in restricted sandboxes; restrict outbound calls; validate tool schemas.
P.AC.S-02-req-07,P.AC.S-02,2,"Semantic Sequence Analysis: Implement stateful monitoring across multi-turn conversations to detect ""Prompt Smuggling"" or incremental jailbreak attempts that appear benign in isolation but collectively violate safety policies."
P.AC.S-02-req-08,P.AC.S-02,2,Continuous Validation: Guardrails and rate-limits on all public model endpoints; adversarial tests before production.
P.AT-01-req-01,P.AT-01,1,Accountability: Managers ensure team completion; HR tracks compliance.
P.AT-01-req-02,P.AT-01,1,"Role-Based Delivery: Tailored content for executives (governance), developers (secure AI SDLC), and auditors (assurance)."
P.AT-01-req-03,P.AT-01,2,"Curriculum Design: Modular training covering bias, fairness, explainability, data governance, TEVV, and legal obligations."
P.AT-01-req-04,P.AT-01,2,Assessment: Require knowledge checks and maintain completion records.
P.AT-01-req-05,P.AT-01,2,Frequency: Conduct annually or after policy updates.
P.AT-01-req-06,P.AT-01,2,"Just-in-Time (JIT) Awareness Prompts: Implement contextual, in-application reminders or warnings that appear when users or developers are performing high-risk actions (e.g., uploading data to a public LLM or modifying a model's safety weights)."
P.AT-01-req-07,P.AT-01,3,"AI Lab Exercises: Scenario-based simulations (prompt-injection, poisoning, fairness audit)."
P.AT-02-req-01,P.AT-02,1,"Baseline Program: Mandatory annual training covering password hygiene, phishing, data handling, and incident reporting."
P.AT-02-req-02,P.AT-02,1,"Specialized Roles: Admins, developers, and analysts receive advanced modules (secure coding, threat detection, forensic handling)."
P.AT-02-req-03,P.AT-02,2,Simulated Campaigns: Regular phishing tests; corrective micro-training for failures.
P.AT-02-req-04,P.AT-02,2,"Metrics Reporting: Track participation, test success, and behavioral improvements."
P.AT-02-req-05,P.AT-02,2,"Executive & Board Strategic Briefings: Conduct annual briefings for senior leadership and the Board of Directors, focusing on the strategic threat landscape, organizational risk posture, and emerging regulatory trends."
P.AT-03-req-01,P.AT-03,1,Governance training overview within 90 days of appointment.
P.AT-03-req-02,P.AT-03,1,"Leadership Workshops: Annual sessions covering governance roles, risk appetite, audit responsibilities, and regulatory trends."
P.AT-03-req-03,P.AT-03,2,"Committee Orientation: Onboarding decks for ethics, privacy, and security committees."
P.AT-03-req-04,P.AT-03,2,Records Management: Archive attendance and materials.
P.AT-03-req-05,P.AT-03,2,"Regulatory Cross-Mapping Sessions: Conduct structured reviews for governance owners to map internal controls against global regulatory requirements (e.g., EU AI Act, NIST AI RMF, GDPR) to ensure unified compliance."
P.AT-03-req-06,P.AT-03,3,Simulation Exercises: Tabletop governance reviews for AI incidents or regulatory breaches.
P.DS-01-req-01,P.DS-01,1,"Classification Scheme: Define tiers (Public, Internal, Confidential, Restricted, Safety-Critical)."
P.DS-01-req-02,P.DS-01,1,Labeling Enforcement: Require data-at-rest and in-motion labels via metadata or DLP tags.
P.DS-01-req-03,P.DS-01,2,"Handling Procedures: Define approved transfer, sharing, and destruction methods."
P.DS-01-req-04,P.DS-01,2,"AI-Dataset Tagging: Tag datasets with provenance, license, sensitivity, and consent status."
P.DS-01-req-05,P.DS-01,2,Storage & Retention: Encrypt and store per classification; align retention with policy.
P.DS-01-req-06,P.DS-01,2,Access Controls: Tie read/write privileges to classification level.
P.DS-01-req-07,P.DS-01,2,"Automated Classification Verification: Implement automated scanning tools to periodically validate that data stored in repositories matches its assigned classification label (e.g., identifying unencrypted PII in a ""Public"" bucket)."
P.DS-01-req-08,P.DS-01,3,Full Inventory Compliance: All datasets labeled; retention schedule enforced across all production and development environments.
P.DS-02-req-01,P.DS-02,1,"Encryption Coverage: Enforce encryption for data-at-rest, in-transit, and for model files."
P.DS-02-req-02,P.DS-02,1,Key Management: Centralized KMS/HSM for key lifecycle; rotate keys annually or on compromise. (key inventory accurate and current.)
P.DS-02-req-03,P.DS-02,2,Algorithm Standards: Use FIPS-validated or equivalent ciphers; maintain crypto-agility plan.
P.DS-02-req-04,P.DS-02,2,"AI Model Protection: Encrypt model weights, embeddings, and inference cache; watermark sensitive models where feasible."
P.DS-02-req-05,P.DS-02,2,Certificate Management: Automated issuance and renewal; revoke expired or compromised certs.
P.DS-02-req-06,P.DS-02,2,Pipeline & Inter-Node Encryption: Enforce mutual TLS (mTLS) and encryption for data-in-transit between distributed training nodes and temporary processing buffers to prevent data interception during the active training phase.
P.ES-req-01,P.ES,1,Baseline Hardening: CIS or equivalent baselines; full-disk encryption; secure boot; kernel/hypervisor protections.
P.ES-req-02,P.ES,1,"EDR/EPP: Mandatory EDR with behavior analytics, isolation, memory scanning; alerting to SIEM; automated quarantine."
P.ES-req-03,P.ES,1,Patch & Vulnerability: OS and third-party patching ≤ 14 days for critical; agent enforcement; vulnerability scanning and risk-based remediation.
P.ES-req-04,P.ES,1,Application Control: Allow-listing for privileged tiers; block unsigned drivers; restrict model-tooling to approved packages.
P.ES-req-05,P.ES,1,"Container/Edge: Immutable images, signed builds, runtime sensors; minimal base images; host isolation."
