arise_control_id,AIUC-1 Requirement IDs / Names,AIUC-1 Control IDs,rationale
D.AD,A003 (A. Data & Privacy): Limit AI agent data access; A004 (A. Data & Privacy): Protect IP & trade secrets; A006 (A. Data & Privacy): Prevent PII leakage; B002 (B. Security): Detect adversarial input; B004 (B. Security): Prevent AI endpoint scraping; B005 (B. Security): Implement real-time input filtering; B006 (B. Security): Prevent unauthorized AI agent actions; C008 (C. Safety): Monitor AI risk categories; E009 (E. Accountability): Monitor third-party access; E010 (E. Accountability): Establish AI acceptable use policy; E013 (E. Accountability): Implement quality management system; E015 (E. Accountability): Log AI system activity; F002 (F. Society): Prevent catastrophic misuse,A003.1; A003.2; A003.3; A003.4; A004.4; A006.3; B002.1; B002.2; B002.3; B002.4; B002.5; B004.1; B004.2; B004.3; B004.4; B005.1; B005.2; B005.3; B005.4; B005.5; B006.2; B006.3; C008.1; C008.2; C008.4; E009.1; E010.1; E010.2; E010.3; E010.4; E013.3; E015.1; E015.2; E015.3; E015.4; F002.2,A003.2: Config: Alerting system for auth failures — Monitor inference scope and alert on authorization-check failures/deviations.
D.CM,A003 (A. Data & Privacy): Limit AI agent data access; A004 (A. Data & Privacy): Protect IP & trade secrets; A006 (A. Data & Privacy): Prevent PII leakage; B002 (B. Security): Detect adversarial input; B004 (B. Security): Prevent AI endpoint scraping; B005 (B. Security): Implement real-time input filtering; B006 (B. Security): Prevent unauthorized AI agent actions; C008 (C. Safety): Monitor AI risk categories; E009 (E. Accountability): Monitor third-party access; E010 (E. Accountability): Establish AI acceptable use policy; E013 (E. Accountability): Implement quality management system; E015 (E. Accountability): Log AI system activity; F001 (F. Society): Prevent AI cyber misuse; F002 (F. Society): Prevent catastrophic misuse,A003.1; A003.2; A003.3; A003.4; A004.4; A006.1; A006.2; A006.3; B002.1; B002.2; B002.3; B002.4; B002.5; B004.1; B004.2; B004.3; B004.4; B005.1; B005.2; B005.3; B005.4; B005.5; B006.1; B006.2; B006.3; C008.1; C008.2; C008.4; E009.1; E010.2; E010.3; E010.4; E013.3; E015.1; E015.2; E015.3; E015.4; F001.1; F001.2; F002.1; F002.2,A003.2: Config: Alerting system for auth failures — Monitor inference scope and alert on authorization-check failures/deviations.
D.ID,B002 (B. Security): Detect adversarial input,B002.1; B002.2; B002.3; B002.4; B002.5,B002.2: Logs: Adversarial incident and response — Log suspected attacks with context; escalate and document response.
D.IM,B001 (B. Security): Third-party testing of adversarial robustness; B002 (B. Security): Detect adversarial input; B004 (B. Security): Prevent AI endpoint scraping; C004 (C. Safety): Prevent out-of-scope outputs; C005 (C. Safety): Prevent customer-defined high risk outputs; C008 (C. Safety): Monitor AI risk categories; C009 (C. Safety): Enable real-time feedback and intervention; C010 (C. Safety): Third-party testing for harmful outputs; C011 (C. Safety): Third-party testing for out-of-scope outputs; D002 (D. Reliability): Third-party testing for hallucinations; D003 (D. Reliability): Restrict unsafe tool calls; D004 (D. Reliability): Third-party testing of tool calls; E001 (E. Accountability): AI failure plan for security breaches; E002 (E. Accountability): AI failure plan for harmful outputs; E003 (E. Accountability): AI failure plan for hallucinations; E008 (E. Accountability): Review internal processes; E010 (E. Accountability): Establish AI acceptable use policy; E013 (E. Accountability): Implement quality management system,B001.1; B002.1; B002.2; B002.3; B002.4; B002.5; B004.4; C004.1; C005.1; C005.2; C005.3; C008.2; C009.1; C009.2; C010.1; C011.1; D002.1; D003.1; D003.2; D003.3; D003.4; D003.5; D004.1; E001.1; E002.1; E002.2; E003.1; E003.2; E008.1; E010.3; E013.1; E013.2; E013.3; E013.4; E013.5,B002.1: Config: Adversarial input detection and alerting — Monitor for prompt injection/jailbreak/rate-limit abuse with alerts.
D.LG-01,A001 (A. Data & Privacy): Establish input data policy; A002 (A. Data & Privacy): Establish output data policy; A004 (A. Data & Privacy): Protect IP & trade secrets; A005 (A. Data & Privacy): Prevent cross-customer data exposure; A006 (A. Data & Privacy): Prevent PII leakage; A007 (A. Data & Privacy): Prevent IP violations; B002 (B. Security): Detect adversarial input; B005 (B. Security): Implement real-time input filtering; B006 (B. Security): Prevent unauthorized AI agent actions; B007 (B. Security): Enforce user access privileges to AI systems; C004 (C. Safety): Prevent out-of-scope outputs; C008 (C. Safety): Monitor AI risk categories; C009 (C. Safety): Enable real-time feedback and intervention; D003 (D. Reliability): Restrict unsafe tool calls; E009 (E. Accountability): Monitor third-party access; E013 (E. Accountability): Implement quality management system; E015 (E. Accountability): Log AI system activity; F002 (F. Society): Prevent catastrophic misuse,A001.1; A001.2; A001.3; A002.1; A002.2; A004.2; A004.4; A005.2; A006.1; A007.3; B002.2; B002.5; B005.4; B006.2; B007.1; C004.2; C008.1; C008.4; C009.2; D003.3; D003.5; E009.1; E013.4; E015.1; E015.2; E015.3; E015.4; F002.2,"A001.2: Config: Data retention implementation — Technical enforcement of retention/deletion (automated deletion schedules, lifecycle rules, deletion audit logs)."
D.SA-01,B001 (B. Security): Third-party testing of adversarial robustness; B004 (B. Security): Prevent AI endpoint scraping; C002 (C. Safety): Conduct pre-deployment testing; C010 (C. Safety): Third-party testing for harmful outputs; C011 (C. Safety): Third-party testing for out-of-scope outputs; C012 (C. Safety): Third-party testing for customer-defined risk; D002 (D. Reliability): Third-party testing for hallucinations; D004 (D. Reliability): Third-party testing of tool calls; F001 (F. Society): Prevent AI cyber misuse; F002 (F. Society): Prevent catastrophic misuse,B001.1; B001.2; B004.3; C002.1; C002.2; C010.1; C011.1; C012.1; D002.1; D004.1; F001.1; F002.1,B001.2: Documentation: Security program integration — Integrate AI adversarial testing into broader pentest/security program and calendars.
D.SA-02,B001 (B. Security): Third-party testing of adversarial robustness,B001.1; B001.2,B001.2: Documentation: Security program integration — Integrate AI adversarial testing into broader pentest/security program and calendars.
G.AC-01,E004 (E. Accountability): Assign accountability,E004.1; E004.2,E004.2: Config: Code signing implementation — Code signing/verification so only signed AI models/libraries/artifacts reach production.
G.AC-02,E013 (E. Accountability): Implement quality management system,E013.1; E013.2; E013.3; E013.4; E013.5,"E013.2: Documentation: Change management procedures — Change management, approval processes and documentation standards (may reuse E004)."
G.AC-03,E004 (E. Accountability): Assign accountability,E004.1; E004.2,E004.2: Config: Code signing implementation — Code signing/verification so only signed AI models/libraries/artifacts reach production.
G.GV.A-01,E004 (E. Accountability): Assign accountability,E004.1; E004.2,E004.2: Config: Code signing implementation — Code signing/verification so only signed AI models/libraries/artifacts reach production.
G.GV.C-01,A007 (A. Data & Privacy): Prevent IP violations; B003 (B. Security): Manage public release of technical details; E010 (E. Accountability): Establish AI acceptable use policy,A007.1; A007.2; A007.3; B003.1; B003.2; E010.1; E010.2; E010.3; E010.4,A007.2: Config: IP infringement filtering — Add supplementary filtering for copyrighted material / trademark screening in outputs.
G.GV.P-02,B003 (B. Security): Manage public release of technical details; E004 (E. Accountability): Assign accountability; E007 (E. Accountability): Document system change approvals,B003.1; B003.2; E004.1; E004.2; E007.1,"B003.2: Documentation: Public disclosure approval records — Approval process for public content referencing AI capabilities, with justification."
G.GV.P-03,E001 (E. Accountability): AI failure plan for security breaches; E002 (E. Accountability): AI failure plan for harmful outputs; E003 (E. Accountability): AI failure plan for hallucinations,E001.1; E002.1; E002.2; E003.1; E003.2,E002.1: Documentation: AI failure plan for harmful outputs — Customer comms protocols and immediate mitigation steps with assigned responsibilities.
G.GV.P-04,A002 (A. Data & Privacy): Establish output data policy; B003 (B. Security): Manage public release of technical details; C001 (C. Safety): Define AI risk taxonomy; E014 (E. Accountability): Share transparency reports; E016 (E. Accountability): Implement AI disclosure mechanisms; E017 (E. Accountability): Document system transparency policy,A002.1; A002.2; B003.1; B003.2; C001.1; C001.2; E014.1; E016.1; E016.2; E016.3; E016.4; E016.5; E017.1; E017.2; E017.3,A002.2: Config: Opt-in/opt-out and output deletion implementation — Technical enforcement of consent preferences and output deletion workflows.
G.GV.P-05,A001 (A. Data & Privacy): Establish input data policy,A001.1; A001.2; A001.3,"A001.2: Config: Data retention implementation — Technical enforcement of retention/deletion (automated deletion schedules, lifecycle rules, deletion audit logs)."
G.GV.P-08,E006 (E. Accountability): Conduct vendor due diligence,E006.1,"Directly covers supply-chain policies for foundation model, tool, vendor, and third-party AI dependencies. This row consolidates 1 AIUC-1 control/evidence record(s) across 1 requirement(s): E006."
G.GV.P-09,A001 (A. Data & Privacy): Establish input data policy,A001.1; A001.2; A001.3,"A001.2: Config: Data retention implementation — Technical enforcement of retention/deletion (automated deletion schedules, lifecycle rules, deletion audit logs)."
G.LR-01,A001 (A. Data & Privacy): Establish input data policy; A002 (A. Data & Privacy): Establish output data policy; A005 (A. Data & Privacy): Prevent cross-customer data exposure; A006 (A. Data & Privacy): Prevent PII leakage; E012 (E. Accountability): Document regulatory compliance,A001.1; A001.2; A001.3; A002.1; A002.2; A005.1; A005.2; A005.3; A006.1; A006.2; A006.3; E012.1,"A001.2: Config: Data retention implementation — Technical enforcement of retention/deletion (automated deletion schedules, lifecycle rules, deletion audit logs)."
G.LR-02,A002 (A. Data & Privacy): Establish output data policy; A004 (A. Data & Privacy): Protect IP & trade secrets; A007 (A. Data & Privacy): Prevent IP violations; B003 (B. Security): Manage public release of technical details,A002.1; A002.2; A004.1; A004.2; A004.3; A004.4; A007.1; A007.2; A007.3; B003.1; B003.2,A002.2: Config: Opt-in/opt-out and output deletion implementation — Technical enforcement of consent preferences and output deletion workflows.
G.LR-03,E011 (E. Accountability): Record processing locations; E012 (E. Accountability): Document regulatory compliance,E011.1; E011.2; E012.1,"E011.2: Documentation: Data transfer compliance — Transfer-compliance procedures (SCCs, adequacy, transfer impact assessments) for AI data."
G.LR-04,F001 (F. Society): Prevent AI cyber misuse,F001.1; F001.2,"F001.2: Config: Cyber use detection — Detect/block malicious-code generation, attack planning and exploit guidance requests."
G.PR-01,A006 (A. Data & Privacy): Prevent PII leakage,A006.1; A006.2; A006.3,A006.2: Config: PII access controls — Require RBAC/MFA/approval-gated access to PII-containing systems.
G.RM-01,C001 (C. Safety): Define AI risk taxonomy,C001.1; C001.2,C001.2: Documentation: Risk taxonomy reviews — Maintain taxonomy currency via documented periodic reviews/change management.
G.RM-04,C001 (C. Safety): Define AI risk taxonomy; C002 (C. Safety): Conduct pre-deployment testing; C005 (C. Safety): Prevent customer-defined high risk outputs; C007 (C. Safety): Flag high risk outputs for human review; C008 (C. Safety): Monitor AI risk categories; C012 (C. Safety): Third-party testing for customer-defined risk; E005 (E. Accountability): Document data storage security; E008 (E. Accountability): Review internal processes; E013 (E. Accountability): Implement quality management system; F002 (F. Society): Prevent catastrophic misuse,C001.1; C001.2; C002.1; C002.2; C002.3; C005.1; C005.2; C005.3; C007.1; C007.2; C007.3; C008.1; C008.2; C008.4; C012.1; E005.1; E008.1; E008.2; E013.1; E013.2; E013.3; E013.4; E013.5; F002.1; F002.2,C001.2: Documentation: Risk taxonomy reviews — Maintain taxonomy currency via documented periodic reviews/change management.
G.ST.B,A003 (A. Data & Privacy): Limit AI agent data access; B006 (B. Security): Prevent unauthorized AI agent actions,A003.1; A003.2; A003.3; A003.4; B006.1; B006.2; B006.3,A003.2: Config: Alerting system for auth failures — Monitor inference scope and alert on authorization-check failures/deviations.
G.ST.O-02,C003 (C. Safety): Prevent harmful outputs; E013 (E. Accountability): Implement quality management system,C003.4; E013.1; E013.2; E013.3; E013.4; E013.5,"E013.1: Documentation: Quality objectives and risk management — Define quality objectives, metrics and risk-management approach for AI systems."
G.ST.S-01,C001 (C. Safety): Define AI risk taxonomy; E011 (E. Accountability): Record processing locations,C001.1; C001.2; E011.1; E011.2,C001.2: Documentation: Risk taxonomy reviews — Maintain taxonomy currency via documented periodic reviews/change management.
G.ST.S-02,B008 (B. Security): Protect AI system deployment environment,B008.1; B008.2; B008.3; B008.4; B008.5; B008.6,"B008.2: Config: API and agentic interface authentication — Scoped tokens/signed requests, OAuth/OIDC for MCP, mutual auth for agent-to-agent."
G.ST.S-03,E011 (E. Accountability): Record processing locations; E012 (E. Accountability): Document regulatory compliance,E011.1; E011.2; E012.1,"E011.2: Documentation: Data transfer compliance — Transfer-compliance procedures (SCCs, adequacy, transfer impact assessments) for AI data."
G.VR-01,A004 (A. Data & Privacy): Protect IP & trade secrets; A007 (A. Data & Privacy): Prevent IP violations; B001 (B. Security): Third-party testing of adversarial robustness; B004 (B. Security): Prevent AI endpoint scraping; C006 (C. Safety): Prevent output vulnerabilities; C010 (C. Safety): Third-party testing for harmful outputs; C011 (C. Safety): Third-party testing for out-of-scope outputs; C012 (C. Safety): Third-party testing for customer-defined risk; D002 (D. Reliability): Third-party testing for hallucinations; D004 (D. Reliability): Third-party testing of tool calls; E006 (E. Accountability): Conduct vendor due diligence; E009 (E. Accountability): Monitor third-party access; E011 (E. Accountability): Record processing locations; F001 (F. Society): Prevent AI cyber misuse; F002 (F. Society): Prevent catastrophic misuse,A004.2; A007.1; A007.2; A007.3; B001.1; B004.3; C006.2; C010.1; C011.1; C012.1; D002.1; D004.1; E006.1; E009.1; E011.1; F001.1; F002.1,"A007.1: Documentation: Model provider IP infringement protections — Document provider IP safeguards (indemnification, copyright/trademark guardrails)."
I.AM-01,A003 (A. Data & Privacy): Limit AI agent data access; E011 (E. Accountability): Record processing locations,A003.1; A003.2; A003.3; A003.4; E011.1; E011.2,A003.2: Config: Alerting system for auth failures — Monitor inference scope and alert on authorization-check failures/deviations.
I.RM-01,C001 (C. Safety): Define AI risk taxonomy,C001.1; C001.2,C001.2: Documentation: Risk taxonomy reviews — Maintain taxonomy currency via documented periodic reviews/change management.
I.RM-02,A003 (A. Data & Privacy): Limit AI agent data access; A006 (A. Data & Privacy): Prevent PII leakage; B007 (B. Security): Enforce user access privileges to AI systems; B008 (B. Security): Protect AI system deployment environment; D003 (D. Reliability): Restrict unsafe tool calls; E009 (E. Accountability): Monitor third-party access,A003.3; A003.4; A006.2; B007.1; B007.2; B008.1; D003.5; E009.1,"A003.4: Config: Agent access and permissions management — Per-agent permission scopes mappable to roles, just-in-time perms, prevent silent inheritance, segregation of duties, DLP on tool calls."
I.TH-01,B002 (B. Security): Detect adversarial input; C006 (C. Safety): Prevent output vulnerabilities; F001 (F. Society): Prevent AI cyber misuse; F002 (F. Society): Prevent catastrophic misuse,B002.1; B002.2; B002.3; B002.4; B002.5; C006.3; F001.1; F001.2; F002.1; F002.2,B002.2: Logs: Adversarial incident and response — Log suspected attacks with context; escalate and document response.
I.TH-02,C008 (C. Safety): Monitor AI risk categories,C008.1; C008.2; C008.4,C008.2: Documentation: Monitoring findings — Document identified scenarios and update taxonomy from findings/incidents.
I.TM-01,B002 (B. Security): Detect adversarial input; C008 (C. Safety): Monitor AI risk categories; F001 (F. Society): Prevent AI cyber misuse; F002 (F. Society): Prevent catastrophic misuse,B002.1; B002.2; B002.3; B002.4; B002.5; C008.1; C008.2; C008.4; F001.1; F001.2; F002.1; F002.2,B002.2: Logs: Adversarial incident and response — Log suspected attacks with context; escalate and document response.
M.CM,A006 (A. Data & Privacy): Prevent PII leakage; B003 (B. Security): Manage public release of technical details; B007 (B. Security): Enforce user access privileges to AI systems; C001 (C. Safety): Define AI risk taxonomy; C002 (C. Safety): Conduct pre-deployment testing; C005 (C. Safety): Prevent customer-defined high risk outputs; D003 (D. Reliability): Restrict unsafe tool calls; E004 (E. Accountability): Assign accountability; E007 (E. Accountability): Document system change approvals; E008 (E. Accountability): Review internal processes; E013 (E. Accountability): Implement quality management system; E015 (E. Accountability): Log AI system activity; E017 (E. Accountability): Document system transparency policy,A006.2; B003.1; B003.2; B007.2; C001.2; C002.1; C005.2; D003.4; E004.1; E007.1; E008.1; E013.1; E013.2; E013.3; E013.4; E013.5; E015.2; E017.3,"B003.1: Documentation: Technical information disclosure guidelines — Limit public disclosure of architectures, training data, configs; require approval."
