requirement_id,control_id,priority,requirement
I.AM-01-req-01,I.AM-01,1,"Inventory Governance: Define ownership (AI Product Owner, Model Owner, Data Steward). Establish registration criteria for what constitutes an AI system and subcomponents."
I.AM-01-req-02,I.AM-01,1,Registration Before Use: Require registration and approval of every AI system before training or production use; enforce via CI/CD and deployment gates.
I.AM-01-req-03,I.AM-01,2,"Minimum Metadata: Capture system name/ID, purpose/intended use, prohibited use, risk tier, business criticality, owners, data categories/rights/license, training/inference data sources, model family, versions, hyperparameters, lineage, fine-tune history, evaluation metrics, deployment targets, endpoints, dependencies (libraries/models/APIs), and support/SLA."
I.AM-01-req-04,I.AM-01,2,"Lifecycle Traceability: Link code repos, data catalogs, MLOps registries, feature stores, and experiment trackers; track model version transitions, deprecation, and retirement."
I.AM-01-req-05,I.AM-01,2,"Risk & Compliance Fields: Include risk tier rationale, TEVV evidence pointers, DPIA/AI impact status, human-oversight points, and documentation links (model/system cards)."
I.AM-01-req-06,I.AM-01,2,Review Cadence: Quarterly review of each record’s accuracy; immediate updates for material changes.
I.AM-01-req-07,I.AM-01,2,Availability & Backup: Ensure registry high availability; back up records and associated artifacts.
I.AM-01-req-08,I.AM-01,3,"Discovery & Reconciliation: Auto-discover unregistered assets via code/registry scans, cloud tags, API gateway logs; reconcile with CMDB and data catalogs at least monthly."
I.AM-01-req-09,I.AM-01,3,Change Control Hooks: Block promotion to production unless inventory entry is current and approved; prevent deployment with missing/stale metadata.
I.AM-01-req-10,I.AM-01,3,"Regulatory Registry Interoperability: Automate the mapping and export of inventory data to schema formats required by external regulatory databases (e.g., EU AI Act high-risk database) to streamline compliance reporting."
I.AM-02-req-01,I.AM-02,1,"Authoritative Inventory: Central CMDB integrated with cloud accounts, container/orchestration, and SaaS discovery; requires asset tags/labels in IaC. (100% internet-exposed and critical systems inventoried with )"
I.AM-02-req-02,I.AM-02,1,Ownership & Classification: Assign a technical and business owner; apply data classification and security categorization; record SBOMs/MBOMs where applicable.
I.AM-02-req-03,I.AM-02,2,"Interconnection Register: Document upstream/downstream dependencies, trust boundaries, and data flows."
I.AM-02-req-04,I.AM-02,2,"Security Posture Linkage: Link assets to vulnerability scanners, EDR/XDR, compliance baselines, and patch telemetry for reconciliation."
I.AM-02-req-05,I.AM-02,2,Criticality & BIA Link: Map assets to BIA tiers and risk tiers; use to drive recovery priorities and control rigor.
I.AM-02-req-06,I.AM-02,2,Lifecycle Updates: Create/update/retire assets through change tickets; ensure disposal records.
I.AM-02-req-07,I.AM-02,3,Automated Reconciliation: Weekly/Automated reconciliation of cloud and container assets to identify and remove stale records.
