arise_control_id,prEN 18284 Reference,rationale
G.AC-01,Art. 10 - Data Quality & Governance,"ARISE control Top Management Commitment (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.AC-01-req-03 (Roles & Authorities: Appoint leaders for security, privacy, resilience, and AI governance with documented responsibilities.) -- matched terms: privacy. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
G.AC-02,Art. 10 - Data Governance,"ARISE control Charters & Committees (GOVERN) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.AC-02-req-02 (Membership: Ensure cross-functional representation/independence; maintain rosters and COI declarations.) -- matched terms: representat. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
G.AC-03,Art. 10 - Data Quality & Governance,"ARISE control Executive Leadership & Board Oversight (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.AC-03-req-05 (Competency: Provide education for directors on cyber, privacy, and AI risks.) -- matched terms: privacy. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
G.GV.A-01,Art. 10 - Data Quality & Governance,"ARISE control Accountability (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Ensure every AI decision/outcome has a traceable human owner with authority to act on risk findings.. None of the 4 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
G.GV.A-02,Art. 10.3 - Bias Controls,"ARISE control Fairness (GOVERN) maps to Art. 10.3 - Bias Controls of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 3 of 4 requirements demonstrate direct keyword alignment to this standard: G.GV.A-02-req-01 (Define fairness metrics and thresholds.) -- matched terms: fairness"
G.GV.A-03,Art. 10.3 - Bias Controls,"ARISE control Inclusivity (GOVERN) maps to Art. 10.3 - Bias Controls of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 4 requirements demonstrate direct keyword alignment to this standard: G.GV.A-03-req-01 (Define inclusivity criteria for datasets and testing panels.) -- matched terms: data, dataset"
G.GV.A-04,Art. 10 - Data Quality & Governance,"ARISE control Cultural Considerations (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Respect cultural norms and jurisdictional sensitivities in outputs, labeling, and UX; require contextual review before global deployments.. None of the 3 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
G.GV.A-05,Art. 10.3 - Bias Controls,"ARISE control Tensions and Trade-offs (GOVERN) maps to Art. 10.3 - Bias Controls of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Document trade-offs between accuracy, privacy, interpretability, and fairness; justify risk acceptance with leadership approval and transparent communication.. None of the 4 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
G.GV.A-06,Art. 10 - Data Quality & Governance,"ARISE control Transparency (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 4 requirements demonstrate direct keyword alignment to this standard: G.GV.A-06-req-04 (Content Provenance & Watermarking: Implement technical standards (e.g., C2PA) to cryptographically watermark AI-generated content, allowing downstream users to verify its origin and authenticity.) -- matched terms: cryptograph. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
G.GV.C-01,Art. 10 - Data Governance,"ARISE control COC: Acceptable Use (GOVERN) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.C-01-req-02 (User Responsibilities: Data confidentiality, password hygiene, incident reporting.) -- matched terms: data"
