arise_control_id,CO AI Act Requirement,rationale
G.GV.A-01,Duty of Reasonable Care (RMP),Deployers must implement a Risk Management Policy (RMP). This control establishes the governance structure to identify measure and manage AI risks throughout the lifecycle directly satisfying the statutory requirement for reasonable care.
V.TE-02,Impact Assessment (Annual),Deployers must conduct an impact assessment prior to use and annually thereafter. This control mandates the technical evaluation of model performance and discrimination risks creating the required evidentiary record of diligence.
G.GV.A-06,Consumer Notice (Pre-Decision),Consumers must be notified if an AI system is a substantial factor in a consequential decision. This control governs the external communication of AI use ensuring plain-language disclosures are provided before the decision is made.
P.AC.M-01,Algorithmic Discrimination,The Act explicitly targets algorithmic discrimination. This control requires the definition of fairness metrics and the documentation of testing results to prove that the system does not disadvantage protected groups.
R.IC.P,Website Statement,Deployers must publish a public statement summarizing the high-risk systems in use and how risks are managed. This control ensures that public-facing transparency artifacts are accurate up-to-date and legally defensible.
M.RM-01,Developer Documentation Review,Deployers rely on developer documentation to complete their assessments. This control compels the organization to obtain and validate model cards and risk disclosures from vendors before onboarding high-risk tools.
G.LR-05,Consequential Decision Oversight,The law regulates consequential decisions (e.g. hiring lending). This control ensures that any system making such decisions is flagged for enhanced governance and human oversight (human-in-the-loop) where appropriate.
I.OD-03,Record Keeping (3 Years),Impact assessments and risk records must be retained for at least 3 years. This control enforces retention schedules for governance artifacts ensuring they are available for regulatory inspection by the Attorney General.
G.GV.P-08,Vendor Notification of Harm,If a developer discovers their system caused discrimination they must notify the AG and deployers within 90 days. This control ensures the organization has a protocol to receive and act on these critical vendor notifications.
I.IM-03,Adverse Event & Appeals,Deployers must have a process to handle consumer appeals and correct errors. This control operationalizes the mechanism for consumers to challenge adverse decisions a key right granted by the Act.
