requirement_id,control_id,priority,requirement
R.IC.E-01-req-01,R.IC.E-01,1,"Jurisdictional Registry: Maintain registry of reporting thresholds and timelines (e.g., GDPR 72-hour rule, SEC 4-day rule, AI Act, state breach laws)."
R.IC.E-01-req-02,R.IC.E-01,1,"Deadline Tracking: Track deadlines and maintain submission evidence for audit (e.g., email receipts, portal screenshots)."
R.IC.E-01-req-03,R.IC.E-01,1,"Coordinate with Legal, DPO, and Compliance to ensure accuracy and legal sufficiency."
R.IC.E-01-req-04,R.IC.E-01,2,Pre-Approved Reporting Templates: Maintain pre-vetted legal notification templates for common breach scenarios to minimize drafting time during the critical 72-hour window.
R.IC.E-01-req-05,R.IC.E-01,2,Record Retention: Regulatory reports retained per retention policy.
R.IC.E-01-req-06,R.IC.E-01,2,"Data Standardization: Use standard internal forms to collect the specific data points (e.g., ""number of affected records"") required for the external forms."
R.IC.E-02-req-01,R.IC.E-02,1,Legal Approval: Obtain legal counsel approval before releasing information.
R.IC.E-02-req-02,R.IC.E-02,1,"Contact Maintenance: Maintain pre-established contact points with law enforcement (FBI, Secret Service) and CERTs."
R.IC.E-02-req-03,R.IC.E-02,2,Evidence Integrity: Preserve digital evidence and maintain strict chain-of-custody documentation.
R.IC.E-02-req-04,R.IC.E-02,2,"Privilege & Liability Protocol: Establish a protocol for routing law enforcement communications through legal counsel to maintain attorney-client privilege and maximize potential ""safe harbor"" protections under laws like CISA's CIRCIA."
R.IC.E-02-req-05,R.IC.E-02,2,Notification Process: Law enforcement notification processes defined with SLA; evidence logs signed and verified.
R.IC.E-02-req-06,R.IC.E-02,2,Scope Verification: Verify scope of engagement and specific data sharing requirements.
R.IC.E-03-req-01,R.IC.E-03,1,"Sharing Policy: Develop information-sharing policies covering classification, anonymization, and disclosure approval."
R.IC.E-03-req-02,R.IC.E-03,1,"Data Validation: Share only validated and non-sensitive threat data (IOCs, TTPs) to prevent false alarms or privacy leaks."
R.IC.E-03-req-03,R.IC.E-03,1,"Technical Sanitization: Implement a mandatory review process (manual or automated) to strip PII, internal hostnames, and proprietary code snippets from threat intelligence artifacts before dissemination."
R.IC.E-03-req-04,R.IC.E-03,2,"Tagging Standards: Follow standard data sensitivity tagging (e.g., TLP:RED, TLP:AMBER) for all shared intelligence."
R.IC.E-03-req-05,R.IC.E-03,2,Active Participation: Participation in at least one sector ISAC or trusted community; quarterly sharing activity documented.
R.IC.E-03-req-06,R.IC.E-03,2,Approval Logging: Maintain an approval log of shared information and authorized recipients.
R.IC.E-04-req-01,R.IC.E-04,1,"Coordination: Coordinate with Legal, DPO, and Privacy Office to determine notification scope and method."
R.IC.E-04-req-02,R.IC.E-04,1,"Notice Content: Prepare plain-language notices disclosing what data was affected, when, and remediation offered."
R.IC.E-04-req-03,R.IC.E-04,1,Templates & Approvals: Document statutory timeframes; maintain notification templates approved by Legal and DPO.
R.IC.E-04-req-04,R.IC.E-04,1,"Support Infrastructure Readiness: Scale customer support capacity (call centers, chatbots) and provide agents with specific ""Breach FAQ"" scripts before notifications are released to handle the influx of inquiries."
R.IC.E-04-req-05,R.IC.E-04,2,"Delivery Channels: Define approved verified delivery channels (email, postal, or in-app)."
R.IC.E-04-req-06,R.IC.E-04,2,Logging & Tracking: Define process and maintain logs of all notifications and responses.
R.IC.I-01-req-01,R.IC.I-01,2,"Coordinate messaging with HR, Legal, and Security to maintain a unified internal narrative."
R.IC.I-01-req-02,R.IC.I-01,1,Standardized Templates: Maintain standardized internal communication templates for incident alerts and updates.
R.IC.I-01-req-03,R.IC.I-01,1,"Trusted Channel Verification: Establish and train staff on a primary channel  and a challenge-response protocol to verify that incident instructions are genuine, mitigating social engineering attacks."
R.IC.I-01-req-04,R.IC.I-01,2,Knowledge Repository: Store internal FAQs and quick-reference guides in a centralized repository.
R.IC.I-01-req-05,R.IC.I-01,2,"Message Clarity: Verify clarity, consistency, and accessibility of internal messages."
R.IC.I-01-req-06,R.IC.I-01,3,Acknowledgment Tracking: Track message acknowledgment receipts to ensure awareness.
R.IC.I-01-req-07,R.IC.I-01,3,Testing & Validation: Incident communication templates tested during annual tabletop exercises.
R.IC.I-02-req-01,R.IC.I-02,1,"Briefing Content: Summarize incident scope, regulatory exposure, and reputational impact."
R.IC.I-02-req-02,R.IC.I-02,1,"Decision Logs: Maintain records of decisions, approvals, and strategic directives issued during incidents."
R.IC.I-02-req-03,R.IC.I-02,1,Notification SLA: Major incidents briefed to executive management within 24 hours; executive report retained as evidence.
R.IC.I-02-req-04,R.IC.I-02,1,"Materiality Determination: Establish a formal protocol for the Executive Committee to review technical impact data and issue a formal ""Materiality"" determination to trigger regulatory disclosure workflows."
R.IC.I-02-req-05,R.IC.I-02,2,Standardized Templates: Develop and maintain standardized executive incident report templates.
R.IC.I-02-req-06,R.IC.I-02,2,Risk Metrics: Include metrics linked to organizational risk appetite and materiality thresholds.
R.IC.I-02-req-07,R.IC.I-02,2,"Strategic Alignment: Align briefings with continuity, recovery, and stakeholder reporting obligations."
R.IC.I-03-req-01,R.IC.I-03,1,"Communication Discipline: Establish protocols for information security—no external disclosures without approval; ""need-to-know"" enforcement."
R.IC.I-03-req-02,R.IC.I-03,1,"Secure Channels: Use secure, dedicated collaboration platforms (e.g., encrypted signal/wire, separate Slack workspace) for IR coordination, distinct from standard corporate comms."
R.IC.I-03-req-03,R.IC.I-03,1,Decision Logs: Maintain chronological decision logs and key communications.
R.IC.I-03-req-04,R.IC.I-03,1,"War Room Protocols: Define the virtual or physical ""War Room"" structure, assigning specific roles (Commander, Scribe, Liaison) to prevent cross-talk and ensure efficient information flow."
R.IC.I-03-req-05,R.IC.I-03,2,Centralized Dashboard: Update all stakeholders via a centralized incident dashboard or status page.
R.IC.I-03-req-06,R.IC.I-03,2,Evidence Integrity: Ensure all updates are timestamped and preserved for after-action review.
R.IC.I-03-req-07,R.IC.I-03,3,Isolation Strategy: Isolated communication channel created per incident; decision log retained with each incident's after-action report.
R.IC.P-req-01,R.IC.P,1,"Authorized Personnel: Only authorized personnel (e.g., C-Suite, PR Head) issue public statements; explicit prohibition on unauthorized staff speaking to media."
R.IC.P-req-02,R.IC.P,1,"Legal & Risk Review: All communications undergo Legal, Risk, and Executive review prior to release to ensure accuracy and limit liability."
R.IC.P-req-03,R.IC.P,1,"Predefined Templates: Use predefined media templates and Q&A documents (holding statements) for various scenarios (e.g., Ransomware, Data Leak, AI Bias Event)."
R.IC.P-req-04,R.IC.P,1,"Dissemination Channel Hardening: Enforce phishing-resistant Multi-Factor Authentication (e.g., Hardware Keys) on all social media and PR accounts used to issue public updates to prevent account hijacking and disinformation during the crisis."
