requirement_id,control_id,priority,requirement
G.AC-01-req-01,G.AC-01,1,Policy Endorsement: Sign/publish management-system policy; communicate expectations.
G.AC-01-req-02,G.AC-01,1,Resources: Allocate budget and staffing to meet objectives and address risks.
G.AC-01-req-03,G.AC-01,1,"Roles & Authorities: Appoint leaders for security, privacy, resilience, and AI governance with documented responsibilities."
G.AC-01-req-04,G.AC-01,2,Management Review: Conduct formal reviews; decide on improvements/investments.
G.AC-01-req-05,G.AC-01,2,"Risk Acceptance: Establish a threshold where Top Management must explicitly accept residual risks (e.g., risks exceeding $1M impact)."
G.AC-01-req-06,G.AC-01,2,Culture: Model ethical behavior; enforce consequences for violations.
G.AC-02-req-01,G.AC-02,1,"Charters: Document purpose, scope, authorities, quorum, and decision rights."
G.AC-02-req-02,G.AC-02,2,Membership: Ensure cross-functional representation/independence; maintain rosters and COI declarations.
G.AC-02-req-03,G.AC-02,2,Cadence: Meet at least quarterly; maintain agendas and minutes.
G.AC-02-req-04,G.AC-02,2,"Decision Tracking: Maintain a formal ""Decision Log"" separate from minutes; track committee mandates to completion (e.g., ""Risk Accepted"" or ""Remediation Ordered"")."
G.AC-02-req-05,G.AC-02,2,"Escalation: Define thresholds/routes for risk, incidents, and exceptions."
G.AC-02-req-06,G.AC-02,3,Effectiveness Review: Annually assess performance and update charters.
G.AC-03-req-01,G.AC-03,2,"Oversight Charter: Define responsibilities for policy approval, risk appetite, and performance review."
G.AC-03-req-02,G.AC-03,2,"Risk Reporting: Receive quarterly risk/performance reports (incidents, audits, trends)."
G.AC-03-req-03,G.AC-03,2,"Decisions & Direction: Record directives on resources, remediation priorities, strategic shifts."
G.AC-03-req-04,G.AC-03,2,Establish a mechanism for the CISO/AI Governance Head to meet with the Board (or Audit Committee) in executive session without senior management present.
G.AC-03-req-05,G.AC-03,2,"Competency: Provide education for directors on cyber, privacy, and AI risks."
G.AC-03-req-06,G.AC-03,3,Independence: Ensure oversight is free from operational conflicts.
G.GV.A-01-req-01,G.GV.A-01,1,Assign accountable owners per AI system/lifecycle stage.
G.GV.A-01-req-02,G.GV.A-01,1,Document authority to remediate or pause systems.
G.GV.A-01-req-03,G.GV.A-01,2,Maintain a RACI for AI decisions/outcomes.
G.GV.A-01-req-04,G.GV.A-01,3,Executive Attestation: Require formal sign-off (attestation) from the Accountable Executive confirming that high-risk AI systems meet all safety/governance requirements before deployment.
G.GV.A-02-req-01,G.GV.A-02,1,Define fairness metrics and thresholds.
G.GV.A-02-req-02,G.GV.A-02,2,Integrate fairness checks in training/evaluation.
G.GV.A-02-req-03,G.GV.A-02,2,Mandate mitigation plans on threshold breaches.
G.GV.A-02-req-04,G.GV.A-02,3,"Proxy Variable Analysis & Trade-off Documentation: Analyze models for ""Proxy Bias"" (e.g., Zip Code acting as Race) and formally document the accepted trade-offs between Accuracy and Fairness (The Pareto Frontier)."
G.GV.A-03-req-01,G.GV.A-03,1,Define inclusivity criteria for datasets and testing panels.
G.GV.A-03-req-02,G.GV.A-03,2,Define inclusivity Define inclusivity criteria for datasets and testing panels. (Interpreted as: Apply criteria / Stakeholder Engagement)for datasets and testing panels.
G.GV.A-03-req-03,G.GV.A-03,2,"Accessibility & Universal Design: Mandate that all AI interfaces and outputs meet accessibility standards (e.g., WCAG 2.1 AA) to ensure inclusivity for users with disabilities."
G.GV.A-03-req-04,G.GV.A-03,3,Feedback Loops: Establish channels for marginalized or impacted communities to provide direct feedback on model performance and cultural relevance.
G.GV.A-04-req-01,G.GV.A-04,1,Cultural review checklist prior to rollout.
G.GV.A-04-req-02,G.GV.A-04,2,Jurisdictional labeling/UX localization controls.
G.GV.A-04-req-03,G.GV.A-04,3,Local Subject Matter Expert (SME) Validation: Mandate that high-impact launches in new regions undergo review by local cultural/legal experts (not just translation agencies) to catch nuance and context failures.
G.GV.A-05-req-01,G.GV.A-05,1,Leadership approval thresholds for risk acceptance.
G.GV.A-05-req-02,G.GV.A-05,2,Trade-off documentation template and repository.
G.GV.A-05-req-03,G.GV.A-05,2,Stakeholder communication where appropriate.
G.GV.A-05-req-04,G.GV.A-05,3,"Pareto Frontier Analysis: Mandate the use of quantitative analysis to demonstrate that the chosen trade-off is mathematically optimal (on the Pareto Frontier), rather than just an arbitrary choice."
G.GV.A-06-req-01,G.GV.A-06,1,User disclosures when AI is used.
G.GV.A-06-req-02,G.GV.A-06,2,Explainability statements for significant systems.
G.GV.A-06-req-03,G.GV.A-06,2,Documentation to satisfy regulator/customer requests.
G.GV.A-06-req-04,G.GV.A-06,3,"Content Provenance & Watermarking: Implement technical standards (e.g., C2PA) to cryptographically watermark AI-generated content, allowing downstream users to verify its origin and authenticity."
G.GV.C-01-req-01,G.GV.C-01,1,"Acceptable-Use Definition: Define permissible/prohibited behaviors for systems, networks, apps, and AI tools."
G.GV.C-01-req-02,G.GV.C-01,1,"User Responsibilities: Data confidentiality, password hygiene, incident reporting."
G.GV.C-01-req-03,G.GV.C-01,1,Monitoring & Enforcement: Notify users of lawful monitoring.
G.GV.C-01-req-04,G.GV.C-01,2,Acknowledgment: Require annual acceptable-use acknowledgment.
G.GV.C-01-req-05,G.GV.C-01,2,Sanctions: Define disciplinary actions.
G.GV.C-01-req-06,G.GV.C-01,2,"Shadow AI / Public Generative AI Restrictions: Explicitly prohibit the submission of non-public data into unapproved/public AI tools and define acceptable ""Bring Your Own AI"" boundaries."
G.GV.C-02-req-01,G.GV.C-02,1,"Data Ethics Principles: Define fairness, transparency, accountability, privacy, inclusivity."
G.GV.C-02-req-02,G.GV.C-02,2,Governance Integration: Embed data-ethics into data governance and AI development standards.
